recieved: 2024-02-18 22:20:27.934347 - Start!
2024-02-19 15:22:10.871270 - Motion detected!
2024-02-19 15:28:23.904589 - Motion detected!
2024-02-19 16:18:50.429650 - Motion detected!
2024-02-19 16:19:02.480881 - Motion detected!
2024-02-19 16:20:02.650704 - Motion detected!
2024-02-19 16:21:47.941144 - Motion detected!
2024-02-19 16:22:02.990695 - Motion detected!
2024-02-19 16:23:06.164308 - Motion detected!
2024-02-19 16:24:24.374134 - Motion detected!
2024-02-19 16:25:09.495650 - Motion detected!
2024-02-19 16:26:36.731118 - Motion detected!
2024-02-19 16:27:03.810768 - Motion detected!
2024-02-19 16:30:37.399612 - Motion detected!
2024-02-19 16:31:01.480696 - Motion detected!
2024-02-19 16:32:07.672093 - Motion detected!
2024-02-19 16:33:25.895647 - Motion detected!
2024-02-19 16:34:35.101163 - Motion detected!
2024-02-19 16:35:02.185924 - Motion detected!
2024-02-19 16:36:05.365786 - Motion detected!
2024-02-19 16:37:14.562650 - Motion detected!
2024-02-19 16:38:02.714426 - Motion detected!
2024-02-19 16:39:02.890619 - Motion detected!
2024-02-19 16:40:42.164235 - Motion detected!
2024-02-19 16:41:03.222666 - Motion detected!
2024-02-19 16:42:00.375639 - Motion detected!
2024-02-19 16:43:15.579629 - Motion detected!
2024-02-19 16:44:00.701179 - Motion detected!
2024-02-19 16:45:18.911132 - Motion detected!
2024-02-19 16:46:01.035728 - Motion detected!
2024-02-19 16:47:01.199809 - Motion detected!
2024-02-19 16:48:01.370680 - Motion detected!
2024-02-19 16:49:01.558261 - Motion detected!
2024-02-19 16:50:16.772627 - Motion detected!
2024-02-19 16:51:01.900703 - Motion detected!
2024-02-19 16:52:02.075808 - Motion detected!
2024-02-19 16:53:02.245764 - Motion detected!
2024-02-19 16:54:32.501170 - Motion detected!
2024-02-19 16:55:05.599172 - Motion detected!
2024-02-19 16:56:02.765808 - Motion detected!
2024-02-19 16:57:02.940734 - Motion detected!
2024-02-19 16:58:00.094216 - Motion detected!
2024-02-19 16:59:00.255647 - Motion detected!
2024-02-19 17:00:00.419871 - Motion detected!
2024-02-19 17:01:00.591346 - Motion detected!
2024-02-19 17:02:03.761296 - Motion detected!
2024-02-19 17:03:03.922624 - Motion detected!
2024-02-19 17:04:01.085731 - Motion detected!
2024-02-19 17:05:01.259881 - Motion detected!
2024-02-19 17:06:07.459191 - Motion detected!
2024-02-19 17:07:01.604227 - Motion detected!
2024-02-19 17:08:01.790690 - Motion detected!
2024-02-19 17:09:01.960709 - Motion detected!
2024-02-19 17:10:02.127750 - Motion detected!
2024-02-19 17:11:02.300690 - Motion detected!
2024-02-19 17:12:11.502642 - Motion detected!
2024-02-19 17:13:08.665647 - Motion detected!
2024-02-19 17:14:23.869653 - Motion detected!
2024-02-19 17:15:24.039662 - Motion detected!
2024-02-19 17:16:00.134211 - Motion detected!
2024-02-19 17:17:00.302681 - Motion detected!
2024-02-19 17:18:00.481188 - Motion detected!
2024-02-19 17:19:24.705646 - Motion detected!
2024-02-19 17:20:00.804134 - Motion detected!
2024-02-19 17:21:31.071109 - Motion detected!
2024-02-19 17:22:01.152775 - Motion detected!
2024-02-19 17:23:01.320713 - Motion detected!
2024-02-19 17:24:04.520759 - Motion detected!
2024-02-19 17:25:34.791129 - Motion detected!
2024-02-19 17:26:22.929611 - Motion detected!
2024-02-19 17:27:02.052370 - Motion detected!
2024-02-19 17:28:02.214328 - Motion detected!
2024-02-19 17:29:05.385646 - Motion detected!
2024-02-19 17:30:05.555649 - Motion detected!
2024-02-19 17:32:08.915643 - Motion detected!
2024-02-19 17:33:00.054323 - Motion detected!
2024-02-19 17:36:00.539601 - Motion detected!
2024-02-19 17:37:00.709821 - Motion detected!
2024-02-19 17:38:00.871325 - Motion detected!
2024-02-19 17:39:25.099603 - Motion detected!
2024-02-19 17:40:07.229158 - Motion detected!
2024-02-19 17:41:04.400823 - Motion detected!
2024-02-19 17:42:01.554205 - Motion detected!
2024-02-19 17:43:01.730701 - Motion detected!
2024-02-19 17:44:01.892808 - Motion detected!
2024-02-19 17:45:02.065546 - Motion detected!
2024-02-19 17:46:05.246088 - Motion detected!
2024-02-19 17:47:02.410661 - Motion detected!
2024-02-19 17:48:02.590757 - Motion detected!
2024-02-19 17:49:02.753827 - Motion detected!
2024-02-19 17:50:02.915675 - Motion detected!
2024-02-19 17:51:00.071253 - Motion detected!
2024-02-19 17:52:00.249920 - Motion detected!
2024-02-19 17:53:00.422632 - Motion detected!
2024-02-19 17:54:00.585670 - Motion detected!
2024-02-19 17:55:00.744130 - Motion detected!
